编码,项目名称,单位,人工费,辅材费,机械费,综合单价,人工占比
1.1,挖孔土石方,m³,580,48,92,720,81%
1.2,护壁C30混凝土(模板+浇筑+养护),m³,295,38,25,358,82%
1.3,护壁HRB400钢筋(制作+绑扎),t,1150,65,45,1260,91%
1.4,护壁HPB300钢筋(制作+绑扎),t,1150,60,45,1255,92%
1.5,C30混凝土桩身(浇筑+振捣+养护),m³,168,12,45,225,75%
1.6,桩身HRB400钢筋(钢筋笼制安),t,1250,68,55,1373,91%
1.7,桩身HPB300钢筋(制作+安装),t,1250,62,55,1367,91%
1.8,钢护筒制作安装(Q235B d=10mm),t,850,85,55,990,86%
2.1,C30混凝土系梁(模板+浇筑+养护),m³,255,42,28,325,78%
2.2,系梁HRB400钢筋(制作+绑扎),t,1100,60,42,1202,92%
2.3,系梁HPB300钢筋(制作+绑扎),t,1100,55,42,1197,92%
3.1,C30混凝土挡土板(模板+浇筑+养护),m³,275,45,32,352,78%
3.2,挡土板HRB400钢筋(制作+绑扎),t,1100,60,42,1202,92%
3.3,挡土板HPB300钢筋(制作+绑扎),t,1100,55,42,1197,92%
4.1,C30混凝土冠梁(模板+浇筑+养护),m³,260,42,28,330,79%
4.2,冠梁HRB400钢筋(制作+绑扎),t,1100,60,42,1202,92%
4.3,冠梁HPB300钢筋(制作+绑扎),t,1100,55,42,1197,92%
5.1,C25喷射混凝土(厚15cm，含清理+挂网+喷射+养护),m³,210,55,80,345,61%
5.2,Φ8钢筋网(@20x20cm) 制作铺设,t,920,42,22,984,93%
5.3,锚杆Φ25 L=9m(钻孔+安装+注浆)HRB400,t,8800,5800,5200,19800,44%
