分部分项工程报价明细表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
序号,项目名称,项目特征,单位,工程量,综合单价,合价,人工费,材料费,机械费,管理费利润,备注
2# 穿G7 箱涵顶管工程,,,,,,,,,,,"高速公路,公路-I级"
1,挖土方(出发+接收),"含土砂砾石,机械开挖",m³,2088,45,93960,6264,0,87696,18792,
2,回填方,分层压实,m³,1430,35,50050,14300,0,35750,10010,
3,φ1.2m灌注桩(旋挖),"C30,15m,旋挖成孔",m,450,1750,787500,90000,570000,127500,43500,双排+单排
4,冠梁C30,1.2×1.2m,m³,86.4,1480,127872,21600,89424,16848,7689.6,
5,后背梁C30,B×H×1m,m³,104,1420,147680,26000,104000,17680,8736,
6,滑板+地锚梁C30,35cm+50cm锚梁,m³,52,1580,82160,11440,59280,11440,4576,
7,碎石垫层+润滑层,30cm碎石+润滑剂,m²,120,285,34200,3600,28800,1800,1080,
8,箱涵C50防水砼W8,"5.7×4.5m,壁厚0.5-0.6",m³,1143,2580,2948940,285750,2354580,308610,118872,
9,钢筋(箱涵),"HRB400,含加工安装",t,182.88,7200,1316736,182880,1005840,54864,47548.8,
10,钢筋(桩+其他),HRB400+HPB300,t,75.72,7500,567900,75720,439748,22716,19687.2,
11,防水涂层(内+外),水泥基渗透结晶,m²,4326.12,72,311480.64,86522.4,302828.4,43261.2,25956.72,
12,钢套环+钢环,"Q345,260×10mm",套,59,5500,324500,23600,295000,5900,5900,
13,橡胶止水圈,"三元乙丙,楔形",个,59,1950,115050,5900,108850,2300,1640,
14,土体注浆加固,"φ110,水泥浆0.5:1",m,350,420,147000,35000,98000,14000,9800,
15,DN2200涂塑钢管安装,"壁厚14mm,焊接",m,118.2,7200,851040,94560,756480,0,18912,
16,后背地表注浆,"5m范围,压力注浆",m²,40,580,23200,4000,18000,1200,1040,
2#小计,,,,,7929268.64,967136.4,6230830.4,751565.2,343740.32,,
3# 穿Y063 圆管顶管工程,,,,,,,,,,,"三级公路,公路-II级"
18,挖土方(工作+接收),"圆形井,机械开挖",m³,851.2,48,40857.6,5107.2,0,35750.4,8171.52,
19,回填方,接收井废除回填,m³,560.4,38,21295.2,5604,0,16812,4483.2,
20,逆作法井壁C30,工作井+接收井,m³,176.15,2180,384007,35230,299455,49322,16910.4,
21,封底C30,,m³,38.22,1580,60387.6,5733,45864,8788.6,2904.32,
22,井壁钢筋,HRB400+HPB300,t,21.14,8200,173348,21140,139524,6342,5496.4,
23,DN2600 RC套管C50,"壁厚260,柔性钢承口",m,28,8500,238000,28000,196000,14000,8400,⬛暂估
24,顶管后注浆,"φ90,水泥浆0.5:1",m³,126.56,580,73404.8,12656,55686.4,5062.4,3543.68,
25,触变泥浆,膨润土基,m³,18,420,7560,1800,5760,0,360,
26,DN2200涂塑钢管,"壁厚14mm,焊接",m,42.4,7200,305280,33920,271360,0,6784,
27,C25微膨胀砼填充,套管与供水管间,m³,22,1650,36300,4400,28600,3300,1540,⬛暂估
28,橡胶止水封门板,穿管洞口,套,2,8500,17000,600,15200,1200,360,
29,井点降水,施工全周期,项,1,120000,120000,24000,0,96000,24000,⬛暂估
3#小计,,,,,1477440.2,178190.2,1057449.4,236577.4,82953.52,,
4# 穿G335 箱涵顶管工程,,,,,,,,,,,"二级公路,公路-I级"
36,挖土方(出发+接收),"14.4×10.5m,机械开挖",m³,3613.68,45,162615.6,10841.04,0,151774.56,32523.12,
37,回填方,扣除检修井体积,m³,2300,35,80500,23000,0,57500,16100,
38,φ1.2m灌注桩C35,"旋挖,D120@220",m,690,1750,1207500,138000,874000,195500,66700,
39,冠梁C20,1.2×1.2m,m³,144,1350,194400,36000,136800,21600,11520,
40,后背梁C30,11.4×10.5×1m,m³,119.7,1420,169974,29925,119700,20349,10054.8,
41,滑板C30,35cm,m³,52.92,1580,83613.6,11642.4,60328.8,11642.4,4656.96,
42,碎石垫层+润滑层,30cm碎石,m²,151.2,285,43092,4536,36288,2268,1360.8,
43,箱涵C50防水砼W8,5.7×4.5m,m³,597.12,2580,1540569.6,149280,1230067.2,161222.4,62100.48,
44,钢筋(箱涵),HRB400,t,95.54,7200,687888,95540,525470,28662,24840.4,
45,钢筋(桩+其他),HRB400+HPB300,t,100.43,7500,753225,100430,583082.5,30129,26111.8,
46,防水涂层(内+外),水泥基渗透结晶,m²,2276.52,72,163909.44,45530.4,159356.4,22765.2,13659.12,
47,钢套环+橡胶圈,Q345+三元乙丙,套,19,7450,141550,7600,131700,2250,1970,
48,土体注浆加固,"φ110,水泥浆0.5:1",m,180,420,75600,18000,50400,7200,5040,
49,置换注浆,水泥砂浆1:2:0.4,m³,45,650,29250,4500,22500,2250,1350,
50,桩间喷射砼+钢筋网,"C20,150mm,φ8@150",m²,800,185,148000,24000,104000,20000,8800,
51,φ609钢管撑,"Q235,壁厚16mm",m,32,2680,85760,6400,70400,8960,3072,
52,DN2200涂塑钢管安装,"壁厚14mm,焊接",m,62.2,7200,447840,49760,398080,0,9952,
53,触变泥浆,膨润土基减阻,m³,22,420,9240,2200,7040,0,440,
4#小计,,,,,6024527.24,757184.84,4509212.9,744072.56,300251.48,,
,总计,,,,,,,,,,
