重要说明与假设条件,Unnamed: 1
,
⚠️ 图纸不明确处（已作假设）,
序号,假设项 / 假设依据 / 需确认事项
1,2#出发井/接收井平面尺寸 — 按箱涵宽度+工作空间估算 → 需确认实际尺寸
2,2#井深 — 按覆土+涵高+底板厚估算 → 需确认井深图纸
3,后背墙Hm×Bm — 按井深×井宽估算 → 需确认后背墙大样
4,钢筋含量(kg/m³) — 按同类结构经验值160kg/m³ → 实际以配筋图为准
5,交通导改费用 — 按类似项目暂估18万元/处 → 需交管部门方案
,
📋 待补充项,
序号,缺失项说明
1,2#/4#工作井详细尺寸图 — 井平面、剖面图未知，工程量按近似值估计
2,检修井结构(4#) — 井身改为永久检修井的结构设计图纸缺失
3,电气/通风/排水设施 — 检修井配套机电图纸缺失
4,供水管阀门/伸缩节 — 管道附属设备图纸缺失
,
💰 价格说明,
1,价格基准：新疆地区2025工程造价信息价 + 市场询价
2,价格有效期：30天，超出需重新询价
3,⬛ 黄色标注为暂估项目，实际以采购确认单为准
4,管理费=(人工费+机械费)×12%，利润=(人工费+机械费)×8%
5,税金按增值税9%计取，规费按7%计取
6,暂列金额按分部分项工程费的5%计取
