工程概况汇总,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
参数,2# 穿G7,3# 穿Y063,4# 穿G335
公路等级,高速公路,三级公路,二级公路
荷载等级,公路-Ⅰ级,公路-Ⅱ级,公路-Ⅰ级
顶管形式,钢筋混凝土箱涵,钢筋混凝土圆管,钢筋混凝土箱涵
箱涵/套管尺寸,5.7×4.5m(外),DN2600(外)壁厚260mm,5.7×4.5m(外)
供水管规格,DN2200涂塑钢管,DN2200涂塑钢管,DN2200涂塑钢管
通道总长(m),118.2,42.4,62.2
顶管段长(m),94,28,38
覆土深度(m),6.8,4.8,8.2
工作井形式,矩形(双排桩),圆形φ9.4m逆作法,矩形14.4×10.5m
接收井形式,矩形(单排桩),圆形φ5.9m逆作法,矩形14.4×10.5m
井深(m),出发~13/接收~11,8.8/8.8,11.4/12.5
抗震设防,"丙类,7度,0.10g","丙类,7度,0.10g","丙类,7度,0.10g"
设计使用年限,50年,50年,50年
施工工法,中继间法顶进,泥水平衡机械顶管,中继间法顶进
防水等级,一级(结构自防水),柔性钢承口,一级(结构自防水)
