鄯善启创科技中高压电极箔建设项目 - 安装工程劳务清包工报价表						
编制日期: 2026.06.10    建筑面积: 54,800m²						
序号	项目名称	施工内容	单位	计算方式	综合单价(元)	合价(元)
一	劳务费(厂房标准) = 1+2+3+4+5		m2	建筑面积	138	7562400
1	给水排水系统	给水/排水/雨水管预埋安装、阀门洁具、打压通球、套管保温	m2	建筑面积	32	1753600
2	强电系统	线管预埋、桥架、穿线、配电箱、灯具开关插座、防雷接地调试	m2	建筑面积	42	2301600
3	消防水系统	消火栓喷淋主管支管安装、水泵接合器、打压冲洗	m2	建筑面积	26	1424800
4	消防电系统	烟感温感报警线模块消防箱报警联动布线主机调试	m2	建筑面积	20	1096000
5	弱电系统	网络电话电视布线、弱电箱面板端接、监控布线	m2	建筑面积	18	986400
二	管理费及利润		m2	建筑面积	40	2192000
6	管理费	施工技术人员生活保障	m2	建筑面积	15	822000
7	利润	含税利润	m2	建筑面积	25	1370000
	安装劳务清包合计		m2	建筑面积	178	9754400
注: 1.安装单价依据新疆市场水暖电消防综合单价2026年参考版(厂房类)						
2.厂房特殊调价: 层高>10m+15元/m2, 防爆厂房+28元/m2(本项目暂未计取)						
3.冬季施工另行协商上浮						
